course code,course title,ATTRIBUTES,EXCLUSION,DESCRIPTION,PRE-REQUISITE,CO-REQUISITE,VECTOR,PREVIOUS CODE,INTENDEDLEARNINGOUTCOMES,CO-LIST WITH,ALTERNATE CODE(S)
CENG 5610,CENG 5610 - Protein Engineering (3 units),,CBME 5920,"This course introduces fundamentals of protein science as well as rational design and evolutionary approaches for engineering protein molecules. Protein fundamentals provide the basic knowledge of protein structure and function. Rational design-based protein engineering use several case studies to illustrate the role of modern computational tools in design of functional protein molecules such as catalysts, biosensors, biomaterials, etc. Protein directed evolution topics cover mechanisms of biomolecular evolution, fitness landscapes, examples of successful protein evolution, and metabolic engineering enabled by directed evolution.",,,[3-0-0:3],CENG 6000G,"On successful completion of the course, students will be able to:1.Explain the basic technical concepts, scientific and engineering principles in protein engineering.2.Describe the impacts of protein engineering on health and energy related real-world problems.3.Analyze the influence of protein engineering on other emerging fields such as synthetic biology and genome engineering.4.Identify the key components contributing to protein engineering.5.Recognize research topics in protein engineering.6.Communicate technical ideas more effectively.",,
CENG 5840,CENG 5840 - Nanomaterials for Chemical Engineering Applications (3 units),,"CBME 5840, CENG 4540, NANO 5350","Nanomaterials and nanotechnology have become a rapid growth area in the 21st century. This course provides an introduction to students who enter into this exciting area of research. The course will focus on major routes for the synthesis of nanostructured materials. Selected applications of nanomaterials in chemical engineering applications, such as separation and catalysis, will be studied.","CENG 1500, CENG 3210, CENG 3230",,[2-1-0:3],"CENG 584, CENG 600J","On successful completion of the course, students will be able to:1.Obtain knowledge about methods for preparation of nanomaterials, ranging from single nanoparticles to three-dimensional nanostructures.2.Demonstrate understanding for important thermodynamic and kinetic theories related to such processing.3.Understand fundamental chemistry and physics of nanomaterial.4.Development of analytical skill for methods of characterizing the structure and properties of nanomaterials.5.Demonstrate the knowledge of current and emerging applications for nanomaterials.",NANO 5350,
CENG 6000N,CENG 6000N - Deep Learning for Chemical and Biological Engineering (3 units),,,"Artificial Intelligence have revolutionized many fields in science. Deep learning methods have been proved powerful in approximating highly complex patterns from masses amount of data. In recent years, increasing interest has been drawn to the application of deep learning methods in chemical and biological engineering problems, including molecular and reaction property prediction, drug discovery, protein structure prediction, model predictive control, etc. Deep learning is viewed as an essential skill for the next generation of chemical engineers and as a promising solution to many challenges in chemistry, biology, energy and health. This course introduces the basic concepts and methods in deep learning, including deep neural networks, backpropagation, convolutional and recurrent neural networks, generative models, with a focus on their applications in the problems mentioned above. At the end of this course, students will be able to apply these methods to solve real-world problems in industry or academic research.",,,[3-0-0:3],,,,
CENG 6800X,CENG 6800X - Chemical and Biomolecular Engineering Seminar (0 units),,,"Seminar topics presented by students, faculty and guest speakers. Students are expected to attend regularly and demonstrate proficiency in presentation in accordance with the program requirements. Graded P or F.",,,[0-1-0:0],,,,
CENG 6900C,CENG 6900C - Independent Study (1 unit),,CENG 6800,Selected topics in chemical engineering studied under the supervision of a faculty member. Graded P or F.,,,[1 credit],CENG 690C,,,
CENG 6990,CENG 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,CENG 699,"On successful completion of the course, students will be able to:1.To demonstrate a capability to research and development work.2.To demonstrate the capability to create, analyse and critically evaluate different technical solutions.3.To demonstrate the capability to critically and systematically integrate knowledge.4.To demonstrate the capability to clearly present and discuss the conclusions as well as the knowledge and arguments that form the basis for these findings in written and spoken English.5.To demonstrate a consciousness of the ethical aspects of research and development work.",,
CENG 7990,CENG 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,CENG 799,"On successful completion of the course, students will be able to:1.To demonstrate a capability to research and development work.2.To demonstrate the capability to create, analyse and critically evaluate different technical solutions.3.To demonstrate the capability to critically and systematically integrate knowledge.4.To demonstrate the capability to clearly present and discuss the conclusions as well as the knowledge and arguments that form the basis for these findings in written and spoken English.5.To demonstrate a consciousness of the ethical aspects of research and development work.",,
CHEM 1008,CHEM 1008 - Introductory Chemistry (3 units),,"Level 3 or above in HKDSE 1/2x Chemistry OR HKDSE 1x Chemistry, a passing grade in AL/AS Chemistry, any CHEM courses at or above 1004-level","This course targets science or engineering students with very little to no chemistry background. It provides a general introduction to basic principles of chemistry. Key topics include state of matters, atoms and elements, molecules and compounds, atomic structures and periodicity, molecular structures, quantities in chemical reactions, bonding theories, acids and bases, and solution chemistry.",,,,,,,
CHEM 1020,CHEM 1020 - General Chemistry I (3 units),,CHEM 1010,"This course targets at students who have acquired more advanced knowledge in fundamental Chemistry in high school. Key topics include atomic structure and periodicity, bonding theories, chemical energy, and properties of gases, liquids and solids. Other topics such as chemical kinetics, chemical equilibrium and organic molecules will be briefly reviewed.",Level 3 or above in HKDSE 1/2x OR level 3 or above in HKDSE 1x Chemistry OR CHEM 1008 OR CORE 1120,,,,,,
CHEM 1030,CHEM 1030 - General Chemistry II (3 units),,,"This course is designed for students who have taken General Chemistry I and want to continue to expand their chemistry knowledge. It will cover topics related to stoichiometry and chemical reactions, properties of aqueous solutions, acids and bases, thermodynamics and equilibrium, electrochemistry, general aspects in chemistry of the main-group elements, and introduction to transition metal elements and coordination compounds.",Grade C+ or above in CHEM 1008 OR Level 4 or above in HKDSE 1x Chemistry OR CHEM 1010 OR CHEM 1020,,,,,,
CHEM 1050,CHEM 1050 - Laboratory for General Chemistry I (1 unit),,,"This course is the laboratory class designed for students who are enrolled in CHEM 1010 or CHEM 1020. With laboratory experience acquired in this course, students will be able to relate the physical and chemical principles and theories in practice, perform basic chemical laboratory techniques, and develop their data analyzing skills. Graded P or F.",,CHEM 1010 OR CHEM 1020,,,,,
CHEM 1055,CHEM 1055 - Laboratory for General Chemistry II (1 unit),,,"This course is the laboratory class designed for students who enrolled in CHEM 1030. Students will perform experiments based on the theory they learned in courses. By conducting experiments independently, students are able to experience the whole process, from pre-lab and studying Material Safety Data Sheet (MSDS), to using suitable labwares, experimental techniques and data treatment. Graded P or F.",CHEM 1010 OR CHEM 1020,CHEM 1030,,,,,
CHEM 2111,CHEM 2111 - Fundamentals of Organic Chemistry (3 units),,CHEM 2110,"Various classes of organic compounds, emphasizing organic chemical reactions and mechanisms of major functionalities and their importance in the area of biological chemistry. For engineering students under the four-year degrees who prefer to learn organic chemistry in a single term.",CHEM 1010 OR CHEM 1020,,,,,,
CHEM 2155,CHEM 2155 - Fundamental Organic Chemistry Laboratory (1 unit),,"CHEM 2150, CHEM 2550","This is the laboratory course designed for non-CHEM students who enrolled in CHEM 2110 or CHEM 2111. Students will perform a series of organic experiments related to the theories learnt in the related lecture courses. Students will be trained to practice a wide range of fundamental organic laboratory techniques, operate chemical instruments, relate the physical and chemical principles and theory in practice, and develop their data interpretation and analytical skills. For non-CHEM students in programs that designate this course as required course/specified elective only.",(CHEM 1010 OR CHEM 1020) AND CHEM 1050,CHEM 2110 OR CHEM 2111,,,,,
CHEM 2311,CHEM 2311 - Analytical Chemistry (3 units),,CHEM 2310,"Fundamental and practical aspects of chemical analysis, including titrimetric, electrical, optical and mass spectroscopic methods, analytical separations by chromatography. For students in the programs under the four-year degree that designate this course as required course/specified elective only.",CHEM 1010 OR CHEM 1020,,,,,,
CHEM 2355,CHEM 2355 - Fundamental Analytical Chemistry Laboratory (1 unit),,"CHEM 2350, CHEM 2555","This is the laboratory course corresponding to the lecture courses of CHEM 2310 and CHEM 2311. Experiments covered in this course will be closely connected with the topics covered in the lecture courses, including calibration principle, and some basic optical and chromatographic instrumental techniques. For non-CHEM students in programs that designate this course as required course/specified elective only.",(CHEM 1010 OR CHEM 1020) AND CHEM 1050,CHEM 2310 OR CHEM 2311,,,,,
CHEM 3120,CHEM 3120 - Organic Chemistry II (3 units),,,"Continuation of CHEM 2110.  Dienes, resonance and aromaticity; electrophilic aromatic substitution and nucleophilic aromatic substitution; benzylic and allylic reactivity; the chemistry of carbonyl compounds and carboxylic acid derivatives; the chemistry of amines; pericyclic reactions.",CHEM 2110,,,,,,
CHEM 3220,CHEM 3220 - Inorganic Chemistry II (3 units),,,"Mechanism of inorganic reactions, organometallic and bioinorganic chemistry, catalysis.",CHEM 2210,,,,,,
CHEM 3320,CHEM 3320 - Instrumental Analysis (3 units),,,"Continuation of CHEM 2310.  Topics covered include electrochemistry, mass spectrometry and separation sciences.",CHEM 2310,,,,,,
CHEM 3420,CHEM 3420 - Physical Chemistry II (3 units),,,"Basic quantum theory, atomic and molecular structure, equilibrium statistical thermodynamics.",CHEM 2410,,,,,,
CHEM 3550,CHEM 3550 - Synthetic Chemistry Laboratory II (2 units),,,"This is the laboratory course corresponding to the lecture courses CHEM 3120 and CHEM 3220. The topics of experiments covered in the laboratory course will be related to those taught in the lecture courses, such as electrophilic aromatic substitution and coordination chemistry, etc. For CHEM students under the four-year degree only.",CHEM 2550,CHEM 3120 AND CHEM 3220,,,,,
CHEM 3555,CHEM 3555 - Molecular Characterization Chemistry Laboratory II (2 units),,,"This is the laboratory course corresponding to the lecture courses CHEM 3320 and CHEM 3420. The topics of experiments covered in the laboratory course will be related to those taught in the lecture courses, such as quantum chemistry,  chemical instrumental analysis, etc. For CHEM students under the four-year degree only.",CHEM 2555,CHEM 3320 AND CHEM 3420,,,,,
CHEM 4110,CHEM 4110 - Structural Elucidation in Organic Chemistry (3 units),,,"Use of modern ID- and 2D-NMR, IR, and Mass Spectrometric techniques for structure determination of organic molecules; theory of each technique with emphasis on development of problem-solving techniques.",CHEM 3120,,,,,,
CHEM 4130,CHEM 4130 - Medicinal Chemistry (3 units),,,"This course will introduce the chemistry principles underlying the drug-target interaction and the development of drugs. One of its major topics is the molecular basis of the interaction of medicinal compounds with various biomolecules and the effect of their structure on their therapeutic activities. In addition, this course will discuss the pharmacokinetics and pharmacodynamics properties of therapeutic agents and how these properties are related to their chemical structure. Moreover, another focus of this course is the chemical strategies to discover and optimize lead compounds that can eventually develop into agents of therapeutic values. For CHEM students and students with instructor's approval only.",CHEM 3120,,,,,,
CHEM 4310,CHEM 4310 - Environmental Chemistry (3 units),,,"Chemical phenomena in the hydrosphere, lithosphere and atmosphere; their interaction with the biosphere; origin and treatment of pollutants and hazardous waste; environmental monitoring and analysis.",CHEM 2310 OR CHEM 2311,,,,,,
CHEM 4330,CHEM 4330 - Separation Science (3 units),,,"This course aims to provide an in-depth understanding of the working principles in separating substances by chemical and physical techniques. Topics in this course include: sample preparation for chromatographic analysis; instrumentation for gas and liquid chromatography; mass spectrometry, and etc. Applications of various separation techniques for forensic, environmental, biological, pharmaceutical, food and drink analyses are provided as illustrating examples.",CHEM 2310 or CHEM 2311,,,,,,
CHEM 4420,CHEM 4420 - Statistical Machine Learning Methods for Chemical Data Analysis (3 units),,"COMP 4211, MATH 4432","The basic knowledge of probability and statistics, chemical data preparation and visualization; numerical methods for chemical data analysis: regression, classification, feature selection and neural network.",CHEM 2409 AND CHEM 2410,,,,,,
CHEM 4430,CHEM 4430 - Symmetry in Chemistry and Spectroscopy (3 units),,,"Symmetry principle and group theory, molecular spectroscopy, advanced topics in molecular orbital theory and bonding, chemical kinetics.",CHEM 2110 AND CHEM 2210 AND CHEM 2410,,,,,,
CHEM 4620,CHEM 4620 - Organometallic Chemistry (3 units),,,"Bonding, structure and reactivity of organometallic compounds, ligand substitution, oxidative addition, reductive elimination reactions, insertions and reactions of coordinated ligands, applications to catalytic processes and organic synthesis.",CHEM 3220,,,,,,
CHEM 4680,CHEM 4680 - Undergraduate Research (3 units),,,"Students do original research in accordance with their ability and background, and under the supervision of a faculty. The final course grade is determined based on an oral presentation and a written report to be submitted to a judging committee, which includes the faculty supervisor plus at least one other faculty. Enrollment in the course requires approval of the faculty supervisor.",CHEM 2150 AND CHEM 2250,,,,,,
CHEM 4688,CHEM 4688 - Undergraduate Thesis (3 units),,,"Offered every semester and Summer.  Students do original research in accordance with their ability and background and under the supervision of a faculty.  The final course grade is determined based on an oral presentation and a written thesis to be submitted to a judging committee, which includes the faculty supervisor plus at least one other faculty.  The thesis should include the results of the original research carried out in CHEM 4680.",CHEM 4680,,,,,,
CHEM 4689,CHEM 4689 - Capstone Project (3 units),,CHEM 4691,"Under the supervision of a faculty member or teaching staff, students will complete a capstone project which requires the integration of the chemical knowledge learnt from their previous courses. The project can be delivered through the format of literature review, research, or practical study. A written report and an oral presentation are required to document their learning experiences. For CHEM students under the four-year degree only. Students should seek instructor's approval prior to enrollment in the course.",CHEM 3550 AND CHEM 3555,,,,,,
CHEM 4691,CHEM 4691 - Capstone Research I (3 units),,CHEM 4689,"Students will carry out a research project in one of the Chemistry research laboratories under the supervision of a faculty member. This research-based course provides students an opportunity to integrate and apply their chemical knowledge learnt in regular lecture and laboratory courses. At the end of the course, students are required to submit a written report and deliver an oral presentation to document their learning experiences. For CHEM students only. Students should seek instructor's approval prior to enrollment in the course.",CHEM 3550 AND CHEM 3555,,,,,,
CHEM 4692,CHEM 4692 - Capstone Research II (3 units),,,Continuation of research project started in CHEM 4691 and to be conducted under the supervision of a faculty member/teaching staff. A written report and oral presentation are required to document their learning experiences. Students should seek instructor's approval prior to enrollment in the course.,CHEM 4691,,,,,,
CHEM 5130,CHEM 5130 - Asymmetric Catalysis (3 units),,,"This course teaches the basic concepts and general modes of action of asymmetric catalysis and synthesis. Asymmetric catalysis is an essential tool in organic synthesis, which is used daily in various industries, such as pharmaceutical, chemical, agriculture, materials, etc. The course will provide in-depth explanation of how catalysts work in organic reactions and how asymmetric control is accomplished in different scenarios. Lectures will focus on mechanistic details of chirality control using case studies. Students are expected to be able to use this important tool to solve various synthetic problems.",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Explain the basic principles of asymmetric synthesis.2.Classify modes of action and infer catalyst design.3.Explain factors affecting enantioselectivity and common strategies to perform asymmetric synthesis.4.Design and propose routes to synthesize common chiral fragments.5.Analyze stereochemical control in organic reactions.6.Review frontier topics such as organocatalysis, photoredox catalysis, etc.7.Communicate effectively in writing and by oral presentation on scientific topics of organic chemistry.",,
CHEM 5340,CHEM 5340 - Chemical X-ray Crystallography (3 units),,,"Applications of X-ray diffraction methods to the determination of crystal structures, including crystal symmetry, reciprocal lattice, intensity of diffraction, the phase problem, and refinement of structure parameters, powder X-ray diffraction analysis.",,,[3-0-0:3],CHEM 534,"On successful completion of the course, students will be able to:1.Describe the principles of powder and single crystal X-ray diffraction and how they can be applied to identification of samples and determining molecular crystal structure.2.Classify the main methods of crystallization and apply them to real world examples.3.Discuss classification of crystals on the basis of symmetry and explain the principles of space groups and their application to crystal structure.4.Employ powder diffraction software programs to i) determine unit cells from a set of diffraction peaks, and ii) identify materials from an experimental powder patterns.5.Solve and refine crystal structures from hkl diffraction data using modern software packages such as SHELX and Olex2.6.Critique the quality of experimental diffraction data and refined structures with published X-ray structures and identify the key geometric features.7.Apply the use of databases (CSD, ICSD, PDF) to carry out data mining for structural studies, including molecular and intermolecular geometry.",,
CHEM 5540,CHEM 5540 - Chemistry for Advanced Materials (3 units),,"CHEM 4220, NANO 5100","Chemistry of materials with nano-dimensional structures and advanced functionalities. Working principles of liquid-crystalline displays and organic light-emitting diodes. High-tech applications of luminescent materials in optoelectronic systems, chemical sensors and biological probes.",,,[3-0-0:3],CHEM 554,"On successful completion of the course, students will be able to:1.Demonstrate an understanding of the core ideas and concepts of materials science and technology.2.Recognize the power of chemical synthesis and materials preparation and carry out investigative research work with independent judgment.3.Apply chemical principles to formulate and analyze analytical and synthetic problems.4.Conduct analysis and interpretation of experimental data.5.Communicate problem solutions using correct materials chemistry terminology and good English",NANO 5100,
CHEM 6000Y,CHEM 6000Y - Chemistry Seminar (1 unit),,,"Series of seminar topics presented by students, faculty and visiting speakers; may be repeated for credit. Graded P or F.",,,[0-1-0:1],,,,
CHEM 6030C,CHEM 6030C - Chemistry of Energy (3 units),,,"This course will cover topics in chemistry related to energy production, storage and transport. This will include theoretical, including quantum mechanical and thermodynamical, descriptions of energy processes for chemical energy storage, light harvesting, charge storage, energy and charge transfer, heat storage and transfer, and other material processes, while touching upon selected practical aspects of energy production and storage, such as material synthesis, device fabrication, and the relative economics of energy technologies and energy policy.",,,[3-0-0:3],,,,
CHEM 6772,CHEM 6772 - Professional Development in Chemistry (1 unit),,"CHEM 6770, CHEM 6771","This one-credit course aims at providing research postgraduate students basic training in teaching skills, research management, career development, and related professional skills in chemistry. This course normally lasts for one year, and is composed of a number of mini-workshops or tasks which are coordinated by the department. Graded PP, P or F.",,,[0-1-0:1],,"On successful completion of the course, students will be able to:1.Efficiently use on-line and off-line academic resources to support their research.2.Efficiently use various instruments in their research.3.Understand and conform to regulations regarding the safe use of chemicals and related instruments.4.Perform risk assessment and safely use chemicals and related apparatuses in research projects.5.Supervise and teach undergraduate students in chemistry experiments and part of course activities.6.Professionally present research outputs to chemists in the research and development community.7.Demonstrate a clearer understanding of the career exploration process in chemistry-related industries.",,
CHEM 6980A,CHEM 6980A - Research Project (1 unit),,,"An independent research project carried out under the supervision of a faculty member. This course is only available for exchange, visiting and visiting internship students.",,,[1 credit],CHEM 698A,,,
CHEM 6990,CHEM 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,CHEM 699,"On successful completion of the course, students will be able to:1.Demonstrate up-to-date and in-depth knowledge of their area(s) of specialization.2.Apply practical or computational techniques/skills for chemical investigations.3.Conduct directed chemical research, develop experimental protocols and interpret results.4.Communicate effectively the results of scientific research in writing and by oral presentation.",,
CHEM 7990,CHEM 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,CHEM 799,"On successful completion of the course, students will be able to:1.Demonstrate up-to-date and in-depth knowledge of their area(s) of specialization and chemistry in general.2.Apply practical and/ or computational techniques/skills for chemical investigations.3.Conduct independent chemical research, propose experiments, develop protocols, evaluate results and formulate hypotheses.4.Communicate effectively the results of scientific research in writing and by oral presentation.5.Evaluate and critique current research, approaches and methodologies in chemistry.",,
CHMS 5050,CHMS 5050 - Optical and Electrical Methods (3 units),,,Molecular spectroscopies; Vibrational (IR and Raman) and Electronic (UV-vis) spectroscopy; Fluorescence; Electrochemical analysis; REDOX chemistry and bio-chemistry; Electrochemical measurements; pH measurements; Design and use of sensors.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Assess the utility ofÂ various spectroscopies based on molecular vibrations, rotations and electronic transitions, for the detailed analytical information they provide.2.Apply symmetry analysis, where necessary,Â to aid interpretation of molecular spectra, such as IR and Raman.3.Select appropriate spectroscopic protocols based on the nature of the sample - whether solid, liquid or gas, and the concentration of analyte to be detected.4.Explain the nature of REDOX reactions and how these can beÂ applied toÂ analytical titrations, ion sensing or biochemical analyses.5.CompareÂ the physical and working principles behind different types of electrochemical sensors.Â ",,
CHMS 5111,CHMS 5111 - Environmental Analysis (3 units),,CHMS 5110 (prior to 2021-22),Environmental sampling; Trace analysis; Air analysis; Water analysis; Soils analysis; Gas-phase components and major air pollutants; Toxins and pesticides; Aerosols and particulates; Assessing general health of water and soil systems; Recent advances in environmental techniques; Numerical analysis of environmental problems.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Analyze general air, water, and soil quality parameters.2.Identify and quantify trace components in an environmental sample.3.Differentiate appropriate sampling techniques for environmental analytes.4.Appraise measurement protocols for environmental analytes.5.Compare classical methods of environmental analysis with modern alternatives.6.Critique and environmental analytical case study by oral presentation.",,
CHMS 5112,CHMS 5112 - Food and Drug Analysis (3 units),,CHMS 5110 (prior to 2021-22),Chemical Analysis of Food and Beverages; Food composition; Food contaminants; Food Preservation; Analytical Methods in Food Analysis; Food Safety and Labeling; Drug and Pharmaceutical Analysis; Physio-chemical Properties of Drugs; Analytical Methods in Pharmaceutical Analysis; Biomedical and Forensic analysis of Drugs; Analysis of Traditional Chinese Medicine; Drug formulation.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Classify parts of food composition including major components, additives and contaminants.2.Appraise methods of food and drug analysis for purpose.3.Identify and quantify food components, additives, contaminants and toxins by relying on instrumental methods.4.Analyze active pharmaceutical ingredients and common excipients.5.Qualify and quantify pharmaceutical in biological fluids, environmental systems and forensic samples.6.Characterize Traditional Chinese Medicines, their components and contaminants.7.Prepare an oral critique of a food or pharmaceutical analytical case study.",,
CHMS 5120,CHMS 5120 - Macromolecular Analysis (3 units),,,Polymer and Bio-molecular Techniques; Polymer separation; Gel permeation chromatography; Affinity chromatography; Polymer characterization; Molecular weight and distribution; DNA and protein analysis.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Classify the major types of polymer and how their structure and physical propertiesÂ affect the approach to their characterization and analysis.2.Contrast the separation methodsÂ applied to macromolecular samples with thoseÂ for mixtures ofÂ small molecules. Â 3.Describe approaches to polymer molecular weight analysis and distinguish information on average molecular weight from molecular weight distribution.4.Illustrate the main methods for protein separations and amino-acid sequencing.Â 5.Explain how protein 3D structural detailsÂ can be derived from modern X-ray crystallography.6.CompareÂ the main methods for poly-nucleic acid (DNA, RNA) analysis and base-pair sequencing.7.Illustrate how functional groups or residues in polymers or biopolymers can be detected spectroscopically and assist in characterization.",,
CHMS 5130,CHMS 5130 - Materials Analysis (3 units),,,Electron Microscopies: TEM; Electron diffraction; SEM; STEM; STM; AFM. Nano-materials characterization. Thin film characterization. X-ray diffraction; powder XRD; Single crystal structure determination; SAXS.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Classify materials based on their nature and composition andÂ identify the most appropriate techniques for their characterization and analysis.2.Compare and contrast the use of various types of microscopy to analyze materials.3.Discuss the use of appropriate techniques to study and analyzeÂ thin films, nanoparticular materials and defects in solids.4.Describe the main structure types for crystalline metals, ceramic and organic molecular compounds and explain how they and defects within them can be analyzed.5.Demonstrate the principle behind the use of X-ray diffraction in crystal structure determination of materials.6.Illustrate how powder X-ray diffraction is a useful fingerprint analysis tool for crystalline solids from metal alloys to minerals to pharmaceuticals.",,
CHMS 5140,CHMS 5140 - Laboratory Management (3 units),,,Good lab practices (GLP); Laboratory Safety; Risk assessment; Lab waste management; Computer-assisted Lab Info Systems; Professional development case studies: Safety officer; Lab Manager.,,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Assess whether a commercial, academic or government laboratory is following Good Laboratory Practices (GLP) with appropriate regard to safety, environmental and legal compliance issues.2.Evaluate existing risk assessment protocols for an experimental procedure,Â and where appropriate, propose modifications for improvement.3.Devise new laboratory protocols and guidelinesÂ for safe operation of hazardous equipment,Â and instigate appropriate engineering controlsÂ for the handling of hazardous substances, and wherever possible, their minimization or substitution.4.Re-design existing procedures forÂ the reduction (or elimination) of hazardous waste, andÂ where necessary, implement plans forÂ its safe handling and legal disposal.5.Identify shortcomings of existing analytical procedures, and where necessary, modify them to meet local or international accreditation standards.Â ",,
CHMS 5201,CHMS 5201 - Analytical Instrumentation Laboratory I (3 units),,,"Students will choose from an array of experiments involving modern analytical techniques that have been introduced in the core courses. These will include, but not be limited to, separation of mixtures, gc-ms, lc-ms, atomic spectroscopy and elemental analysis, IR and UV spectroscopy, electrochemistry, NMR, powder XRD. Students must attend and write up experimental reports for at least eight laboratory sessions to complete the course. Maybe graded PP.",,,[0-1-6:3],,"On successful completion of the course, students will be able to:1.ApplyÂ a variety of chromatographic methods to separate and analyze compounds.2.Use various spectroscopic and other analytical methods to identify unknown components of a sample.3.Establish appropriate calibration curves to enable more accurate analysis results.4.Combine experimental data to derive qualitative and quantitative analytical results, with appropriate statistical handling of errors and uncertainties based on multiple measurements.5.Fully report experimental protocols and correlate, tabulate and present analytical results clearly in a written report.",,
CHMS 5202,CHMS 5202 - Analytical Instrumentation Laboratory II (3 units),,,"Students will choose from a further array of experiments, complementary to CHMS 5201, involving analytical techniques that have been introduced in either the core and the elective courses. Students must attend and write up experimental reports for at least eight laboratory sessions to complete the course. Maybe graded PP.",CHMS 5201,,[0-1-6:3],,"On successful completion of the course, students will be able to:1.Critically analyze experimental protocols and proceduresÂ for likely orÂ possible sources of error.2.Apply and extend existing analytical protocols to the analysis of new compounds or mixtures.Â 3.Formulate the design, testingÂ and validation of new analytical procedures or protocols.4.Carry out a risk assessment exercise for new experiments and analyses.",,
CHMS 6980,CHMS 6980 - Analytical Research Project (3 units),,,"Students will undertake a research project in an area related to analytical chemistry under the supervision of a faculty member. Expected time spent on the project (background, planning, execution and write-up/presentation) is 100 hours. Students will submit a written report and the results will be orally presented on completion.",,,[3 credits],,"On successful completion of the course, students will be able to:1.Execute an experimental plan to test a scientific hypothesis and modify this plan based on the results obtained.2.Critically analyze the experimental data they have developed through the course of their project.3.Summarize the resultsÂ of a research project in a written report, highlighting the rationale, methodology and comparison to existing work.4.Carry out independent research involving various analytical techniques.5.Conduct a risk assessment exercise for a new research project.6.Present results of a research project making appropriate use of figures,Â tables and graphs, withÂ summary of background to the work, discussion of the key findings and their relevance.Â ",,
CIEM 5160,CIEM 5160 - Construction Financial Management (3 units),,,"Estimate, tendering strategy, budgetary control, contract account, cash flow management, depreciation, taxation effects, annual reports, strategic management, benefit cost analysis, life cycle costing, value engineering.",,,[3-0-0:3],CIEM 516,"On successful completion of the course, students will be able to:1.Identify the characteristics of the construction industry.2.Identify fundamental knowledge in construction project planning.3.Estimate construction costs.4.Control construction costs.5.Conduct cash flow analysis of construction projects.6.Analyze the financial and operational performance of a construction company.",,
CIEM 5240,CIEM 5240 - Advanced Concrete Technology (3 units),,CIVL 5840,"Green concrete, concrete rheology and its tuning, concrete failure and fracture mechanics, durability of concrete under various environments, steel corrosion in concrete, non-destructive evaluation of concrete, concrete repair, special concretes (high strength, high stiffness, fiber reinforced, lightweight).",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Describe the proper selection of concrete raw materials to enhance greenness.2.Identify factors affecting concrete rheology, failure and durability.3.Explain steel corrosion in concrete, including its control and inspection.4.Define non-destructive methods for concrete members.5.Explain repair methods and repair materials for concrete members.6.Analyze the design and application of various special concretes.",,
CIEM 5320,CIEM 5320 - Computer Aided Design Optimization of Tall Buildings (3 units),,CIVL 5380 (prior to 2019-20),"This course provides consolidated theoretical background and practical knowledge on the analysis, computer aided modeling and design optimization of modern tall building structures. Topics include behavior of different forms of tall building structures; finite element modeling and analysis; principles and practice of structural optimization for tall building design.",,,[3-0-0:3],CIEM 532,"On successful completion of the course, students will be able to:1.Recognize the challenges of building taller structuresÂ and the development of modern structural systems for tall buildings.2.Define computer modelling principles and applications of finite element analysis for tall building structures.3.Describe advanced knowledge of numerical optimization methodology for structural design of tall buildings.4.Apply the state-of-the-art computer based techniques for engineering analysis and design optimization of real-life typical high-rise building projects.",,
CIEM 5420,CIEM 5420 - Biological Waste Treatment and Management (3 units),,"CIVL 5420, JEVE 5420","Principles of secondary, biological treatment processes, including sewage sand filters, trickling filters, activated sludge plants, lagoons, ponds, rotating biological contactors, aerobic and anaerobic digesters, and biological nutrient removal. Management of waste treatment systems and works.",,,[3-0-0:3],,"On successful completion of the course, students will be able to:1.Define the fundamental and advanced knowledge of current solid wastes and wastewater treatment and disposal systems and their problems in Hong Kong and beyond.2.Identify key problems of water and wastewater treatment processes, and propose fundamental engineering and management solution.3.Professionally judge and assess the advantages and disadvantages of various sewage treatment technologies such as MEL, AGS, BABY, Anammox, etc.4.Select the treatment processes/technologies for meeting a more stringent discharge requirement for water pollution control with focus of tertiary treatment.5.Design basic treatment units and systems for municipal wastewater treatment.",JEVE 5420,
