Title,Link,Categories,Organizer,Location,Date,URL,Description,Start Date,End Date,Location Name,Location Country,Performer Name,Performer URL
ECE Seminar  - Soft Electronics to Seamlessly Integrate with Tissues and Organs,https://calendar.hkust.edu.hk/events/ece-seminar-soft-electronics-seamlessly-integrate-tissues-and-organs,"Seminar, Lecture, Talk",Organized by Department of Electronic & Computer Engineering,"Room 1410 (lift 25/26) Academic Building, HKUST",17  May  2023,https://calendar.hkust.edu.hk/events/ece-seminar-soft-electronics-seamlessly-integrate-tissues-and-organs,"Electronics that can seamlessly integrate with human body could have significant impact in medical diagnostic, therapeutics. However, seamless integration is a grand challenge because of the distinct nature between electronics and human body. Conventional electronics are rigid and planar, made out of rigid materials. Human body are soft, deformable and curvilinear, comprised of biological materials, organs and tissues. This talk will introduce our solution to address the challenge through a few emerging electronics and bioelectronics technologies, such as stretchable electronics and most recently rubbery electronics.  By taking the advantage of the enable mechanics of ultra-thin, open-mesh structures, conventionally non-stretchable electronic materials could become mechanically stretchable. Special mechanical structures or architectures accommodate or eliminate mechanical strain in the non-stretchable materials while stretched. Stretchable electronics in this fashion allow integration with skin, organ and tissues. On contrary, rubbery electronics is constructed all based on elastic rubber electronic materials of semiconductors, conductors and dielectrics, which possesses tissue-like softness and mechanical stretchability to allow seamless integration with soft deformable tissues and organs. Rubbery electronic materials and device innovations set the foundation for rubbery electronics. This presentation will feature the development of stretchable electronics and the recent advancement of rubbery electronics and bioelectronics. As platform technologies, stretchable electronics and rubbery electronics could address many scientific challenges in biomedical research and clinical studies.",2023-05-17,2023-05-17,"['Room 1410 (lift 25/26) Academic Building', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"IAS Program on Inverse Problems, Imaging and Partial Differential Equations - Convexification Numerical Method for a Coefficient Inverse Problem for the Riemannian Radiative Transfer Equation",https://calendar.hkust.edu.hk/events/ias-program-inverse-problems-imaging-and-partial-differential-equations-convexification,"Seminar, Lecture, Talk",Organized by HKUST Jockey Club Institute for Advanced Study,"Online via Zoom, hosted by the Department of Mathematics of City University of Hong Kong",17  May  2023,https://calendar.hkust.edu.hk/events/ias-program-inverse-problems-imaging-and-partial-differential-equations-convexification,"Abstract
The convexification method of the presenter is the single numerical method with the global convergence property for coefficient inverse problems with non-overdetermined data. It is applicable to a broad class of Coefficient Inverse Problems. The key is the Carleman Weight Function, which is involved in the resulting cost functional. The speaker will present this method for a Coefficient Inverse Problem for the radiative transport equation (co-authors Professor Jingzhi Li and Doctor Zhipeng Zhang). Next, he will present both Holder and Lipschitz stability estimates for a Coefficient Inverse Problem for the parabolic equation with the final overdetermination. Finally, he will present Lipschitz stability estimate for a problem of Mean Field Games. If time will allow, then he will discuss other results, which they have recently obtained for other problems of mean field games (see his five most recent preprints at https://arxiv.org/search/?query=Klibanov&searchtype=all&source=header).For Attendees' Attention
This talk is hosted by the Department of Mathematics of the City University of Hong Kong and will be held online via Zoom. Please register in advance for this talk at https://cityu.zoom.us/meeting/register/tJIudOCoqDojEtTSnmFHPxvZSVuBmAmeOPSn. Zoom link will be provided via email after registration.About the Program
For more information, please refer to the program website at https://iasprogram.hkust.edu.hk/inverseproblems/.",2023-05-17,2023-05-17,"['Online via Zoom', 'hosted by the Department of Mathematics of City University of Hong Kong']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
IoT Thrust Seminar | Decentralized Web and the Interplanetary File System (IPFS),https://calendar.hkust.edu.hk/events/iot-thrust-seminar-decentralized-web-and-interplanetary-file-system-ipfs,"Seminar, Lecture, Talk","Promoted by Information Hub, HKUST(GZ) on behalf of Internet of Things Thrust, HKUST(GZ)",Zoom ID: 981 3587 7828 Passcode: iott Meeting Location: E3 202,17  May  2023,https://calendar.hkust.edu.hk/events/iot-thrust-seminar-decentralized-web-and-interplanetary-file-system-ipfs,"Recent years have witnessed growing consolidation of web operations. For example, the majority of web traffic now originates from a few organizations, and even micro-websites often choose to host on large pre-existing cloud infrastructures. In response to this, the “Decentralized Web” attempts to distribute ownership and operation of web services more evenly.
In this talk we'll go through the design and implementation of the largest and most widely used Decentralized Web platform — the InterPlanetary File System (IPFS) — an open-source, content-addressable peer-to-peer network that provides distributed data storage and delivery. IPFS has millions of daily content retrievals and already underpins dozens of third party applications. We'll go through recent findings on the evaluation of the performance of IPFS by introducing a set of measurement methodologies that allow us to uncover the characteristics of peers in the IPFS network. During our evaluation we found presence of IPFS nodes in more than 2700 Autonomous Systems and 152 countries, the majority of which operate outside large central cloud providers like Amazon or Azure. We evaluated the performance of IPFS and show that both publication and retrieval delays are acceptable for a wide range of use cases.",2023-05-17,2023-05-17,Zoom ID: 981 3587 7828 Passcode: iott Meeting Location: E3 202,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Social Science Seminar - Reputations in Interaction,https://calendar.hkust.edu.hk/events/social-science-seminar-reputations-interaction,"Seminar, Lecture, Talk",Organized by Division of Social Science,"Room 3301 (Lift 2 or Lifts 17-18), 3/F Academic Building",18  May  2023,https://calendar.hkust.edu.hk/events/social-science-seminar-reputations-interaction,"Most studies analyze an actor’s reputation singularly, based on what the actor says and does. Few studies have examined an actor’s reputation interactively, based on how the target reacts. How does the other’s reaction affect one’s reputation—and the other’s own reputation? Under what conditions would the other succeed in using its reputation to attack one’s reputation? We break down these questions and investigate them experimentally. Using the setting of a diplomatic dispute, we randomize the reputations for honesty for each side to identify the diplomatic premium (or discount) of a good (or bad) reputation. We show for the first time that reputation has both offensive and defensive values: One’s reputation can significantly undercut the other’s credibility while protecting one’s credibility from challenge at the same time. Separately, we also randomize regime type to identify the existence of a dyadic democratic premium for credibility, with useful implications for democratic peace. These results show that reputation is a dynamic asset that changes interactively, but in systematic ways. This is a joint project with John Koo (HKU). The talk will end with some brief observations from a new project on the conceptualisation and measurement of nationalism. ",2023-05-18,2023-05-18,"['Room 3301 (Lift 2 or Lifts 17-18)', '3/F Academic Building']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Electronic & Computer Engineering - ECE FUTURE LEADERS PG SEMINAR SERIES,https://calendar.hkust.edu.hk/events/department-electronic-computer-engineering-ece-future-leaders-pg-seminar-series-7,"Seminar, Lecture, Talk",Organized by Department of Electronic & Computer Engineering,"Room 2515-2516, Academic Building (Lifts 25-26)",18  May  2023,https://calendar.hkust.edu.hk/events/department-electronic-computer-engineering-ece-future-leaders-pg-seminar-series-7,"Session 1: Privacy-Preserving Push-Sum Average Consensus via State Decomposition

Speaker: Ms. Xiaomeng CHEN, PhD (ECE), HKUST

 

Session 2: Developing Label-Efficient Models towards Less Annotations and Larger Data Scale

Speaker: Mr. Yi LI PhD (ECE), HKUST",2023-05-18,2023-05-18,"['Room 2515-2516', 'Academic Building (Lifts 25-26)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
IAS Distinguished Lecture - Optimal Statistical Estimation under Nonstatistical Constraints,https://calendar.hkust.edu.hk/events/ias-distinguished-lecture-optimal-statistical-estimation-under-nonstatistical-constraints,"Seminar, Lecture, Talk",Organized by HKUST Jockey Club Institute for Advanced Study,"Kaisa Group Lecture Theater (IAS LT), Lo Ka Chung Building, Lee Shau Kee Campus, HKUST",18  May  2023,https://calendar.hkust.edu.hk/events/ias-distinguished-lecture-optimal-statistical-estimation-under-nonstatistical-constraints,"Abstract
In the conventional statistical framework, a major goal is to develop optimal statistical procedures based on the sample size and statistical model. However, in many contemporary applications, non-statistical concerns such as privacy and communication constraints associated with the statistical procedures become crucial. This raises a fundamental question in data science: how can we make optimal statistical inference under these non-statistical constraints? In this talk, the speaker will explore recent advances in differentially private learning and distributed learning under communication constraints in a few specific settings. The results demonstrate novel and interesting phenomena and suggest directions for further investigation.About the Speaker
Prof. Tony Cai received his PhD from Cornell University in 1996. He joined the University of Pennsylvania in 2006 and is currently the Daniel H. Silberberg Professor in Applied Mathematics and Statistics. He was also named the Medallion Lecturer at the Institute of Mathematical Statistics in 2009.
Prof. Cai’s research interests include high-dimensional inference, large-scale multiple testing, nonparametric function estimation, functional data analysis, inference for discrete distributions, and statistical decision theory, with applications to compressed sensing, chemical identification, medical imaging and microarray data analysis. He currently serves on the editorial board of the Frontiers of Statistics (book series). He was also the editor of The Annals of Statistics in 2010-2012.
Prof. Cai received the Committee of Presidents of Statistical Societies (COPSS) Presidents' Award in 2008. He was elected as a Fellow of the Institute of Mathematical Statistics in 2006 and the President of International Chinese Statistical Association in 2016.For Attendees' Attention


	Seating is on a first come, first served basis.",2023-05-18,2023-05-18,"['Kaisa Group Lecture Theater (IAS LT)', 'Lo Ka Chung Building', 'Lee Shau Kee Campus', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Guest Seminar  - Accelerating Materials Design via Computation and Machine Learning Combined Approaches,https://calendar.hkust.edu.hk/events/guest-seminar-accelerating-materials-design-computation-and-machine-learning-combined,"Seminar, Lecture, Talk",Organized by Department of Chemical & Biological Engineering,Room 1409 (Lift 25-26),18  May  2023,https://calendar.hkust.edu.hk/events/guest-seminar-accelerating-materials-design-computation-and-machine-learning-combined,"A long-standing challenge for materials design is to clarify materials microscopic features, with providing their linkage to macroscopic properties and processing parameters. With the recent development of computing equipment and algorithms, modeling and simulations, assisted by artificial intelligence techniques, have become a promising means to tackle the above problem. In this presentation, computation-based strategies for accelerating materials design will be discussed, through the demonstration of three examples from different aspects on combining modeling and machine learning. In the first example, an effective ensemble learning framework was proposed, for automated identification on atomic crystal structures from molecular dynamics trajectories, as a generalizable tool to extract materials descriptors. In the second example, Bayesian optimization guided coarse-grained molecular dynamics simulations were performed, to systematically investigate the effects of molecular level material properties on lithium-ion transport in polymeric material systems, for promoting an efficient screening of solid polymer electrolytes. In the last example, a three-dimensional generative-adversarial-networks-based model was established, as an attempt toward inverse design of composite materials with complex structures and multiple optimization objectives.",2023-05-18,2023-05-18,Room 1409 (Lift 25-26),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"IPE Thrust Research Seminar | Estimation of Property Value Changes from Nearby Carbon Capture, Utilization, and Storage Projects in the United States and China",https://calendar.hkust.edu.hk/events/ipe-thrust-research-seminar-estimation-property-value-changes-nearby-carbon-capture,"Seminar, Lecture, Talk","Organized by Society Hub, HKUST(GZ)",Zoom ID：961 4574 5264 Passcode: ipe,18  May  2023,https://calendar.hkust.edu.hk/events/ipe-thrust-research-seminar-estimation-property-value-changes-nearby-carbon-capture,"Estimation of Property Value Changes from Nearby Carbon Capture, Utilization, and Storage Projects in the United States and China

 

Abstract:

Carbon capture, utilization, and storage (CCUS) techniques are vital to reaching decarbonization goals. Using nationwide CCUS data and property-level housing transaction records in the U.S., we quantify the impact of CCUS projects on nearby property values. Our research reveals three main findings. First, within 15 km of a CCUS project, property values decrease by 10.18% on average and the impact is heterogeneous depending on the property proximity. Second, a CCUS project’s negative impact varies across the project types and facility conditions. The value of a property decreases by 9.88% and 6.42% after a carbon capture-only and a carbon storage-only project is operational within 15 km of the property, respectively. Retrofit CCUS facilities have no significant impact on nearby housing prices, whereas new-built CCUS facilities significantly reduce nearby house prices by 10.68%. Third, we apply a DDD approach to distinguish between CCUS effects and oil basin effects on housing prices and find that the CCUS operation has a net impact of -17.84% on nearby housing prices when compared to similar houses in oil basins without CCUS operations. Our mechanism analysis indicates that the increase in house prices resulting from CCUS within 5 km may be attributed to the implementation of CCUS projects which capture carbon emissions and improve local air quality. Reduced house prices within 15 km of CCUS projects may be attributed to a decrease in both local economic development and air quality. We also explore the heterogeneous responses of CCUS operations based on environmental awareness, local economic activities, and the facility industry. Our paper provides important policy implications on the local economic impacts and the siting choices of CCUS projects. The study provides useful insights into how CCUS projects may be expanded efficiently. We also apply a similar method to the data in China and find that on average, property values decrease by 5.5%-5.9% after the construction of a CCUS facility within a 3.6 km distance.",2023-05-18,2023-05-18,Zoom ID：961 4574 5264 Passcode: ipe,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
HKUST Red Bird Visiting Scholars Lecture Series - Material Development for Next-Generation Electrochemical Energy Storage Technologies towards Electrification and Decarbonization,https://calendar.hkust.edu.hk/events/hkust-red-bird-visiting-scholars-lecture-series-material-development-next-generation,"Seminar, Lecture, Talk",Organized by HKUST Jockey Club Institute for Advanced Study,"IAS2042, 2/F, Lo Ka Chung Building, Lee Shau Kee Campus, HKUST",19  May  2023,https://calendar.hkust.edu.hk/events/hkust-red-bird-visiting-scholars-lecture-series-material-development-next-generation,"Abstract
An electrified and a decarbonized world will not be realizable without a resilient grid and the development and utilization of advanced power systems with exceptional efficiency, reliability, functionality, and form factor. With current efforts in electrification and decarbonization in transportation and industry, there is a clear need to develop high-performance, safer, and more sustainable energy storage technologies to advance current grid and power systems. Material development plays important roles in realizing sustainable, high-performance energy storage technologies such as next-generation Li-ion, Li metal, Na-ion, and solid-state batteries. In this talk, the speaker will give an overview of energy storage technologies currently used in transportation and stationary applications, cover the development of electrode materials for next-generation Li-ion batteries, and present approaches to developing high-performance solid-state batteries. The speaker would like to demonstrate the research effort aiming to build knowledge and understanding of critical electrochemical processes and to employ the desired features into electrochemical energy storage technologies to meet the requirement in electrification and decarbonization across the world.About the Speaker
Prof. WANG Donghai received his PhD in Chemical Engineering from Tulane University in 2006. Prior to joining the Pennsylvania State University in 2009, he was a Post-Doctoral Researcher and then a Scientist at the Pacific Northwest National Laboratory. He is currently a Professor in the Department of Mechanical Engineering and Institute of Energy and the Environment at the Pennsylvania State University.
Prof. Wang is a well-known researcher in developing new materials and techniques for energy storage technologies. He has been an ardent researcher responsible for leading multiple-organization interdisciplinary teams, executing over $21M grants as principal investigators and co-investigators, and overseeing over 50 doctoral students and postdoctoral fellows. He has co-authored around 120 peer-reviewed journal articles with an H-index of 75 (Google Scholar) and given over 100 talks at professional conferences and universities. He was identified as a Highly Cited Researcher in 2018-2022 according to Web of Science. As a prolific inventor, he is with over 20 applications filed in the fields of nanomaterials and related applications to energy storage techniques.For Attendees' Attention
Seating is on a first come, first served basis.
 ",2023-05-19,2023-05-19,"['IAS2042', '2/F', 'Lo Ka Chung Building', 'Lee Shau Kee Campus', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
OCES Departmental Seminar: Oceanic energy flux across scales -- Observational evidence and mechanism,https://calendar.hkust.edu.hk/events/oces-departmental-seminar-oceanic-energy-flux-across-scales-observational-evidence-and,"Seminar, Lecture, Talk",Organized by Department of Ocean Science,Rm 5583 (lift 29-30),19  May  2023,https://calendar.hkust.edu.hk/events/oces-departmental-seminar-oceanic-energy-flux-across-scales-observational-evidence-and,"The oceanic flow consists of motions of distinctive scales across which energy transfers. This talk consists of two topics. The first problem we consider is obtaining energy flux across scales from measured data, which can be achieved by analyzing the third-order structure functions. We generalize the classic inertial-range theories to capture the bidirectional energy flux and energy injection scale. Using the new theory, we analyze the summer and winter drifter data obtained from the Gulf of Mexico and find that (i) bidirectional energy flux exists and (ii) the dominant kinetic energy sources are the baroclinic instabilities associated with the ocean depth and the mixed-layer depth. The second one relates to the energy puzzle of mesoscale eddies, whose energy injection is much larger than the known energy dissipation. The estimation of mesoscale energy flux is mainly based on the quasigeostrophic theory, where energy cascade upscales and finally dissipates at the boundaries. However, inertia-gravity waves may modify this energy flux picture qualitatively. We study this problem using an asymptotically derived model that captures the interaction between near-inertial waves and mesoscale eddies. This model has a Hamiltonian structure and preserves conserved quantities such as the total energy, potential enstrophy and wave action, based on which we argue the existence of wave-induced downscale energy flux, which is overlooked in the mesoscale energy budget. We numerically study the turbulent states of this model and find that the wave-induced downscale flux of mesoscale energy can be substantial, which provides a candidate to resolve the energy puzzle of mesoscale eddies. An implication of jet formation on a beta-plane is also presented.",2023-05-19,2023-05-19,Rm 5583 (lift 29-30),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
OCES Departmental Seminar: Enhancing Analysis of Ocean Dynamics for Applications in Protection of Marine Ecosystem and Environment: toward Digital Twins of the Ocean,https://calendar.hkust.edu.hk/events/oces-departmental-seminar-enhancing-analysis-ocean-dynamics-applications-protection-marine,"Seminar, Lecture, Talk",Organized by Department of Ocean Science,Rm 5583 (lift 29-30),19  May  2023,https://calendar.hkust.edu.hk/events/oces-departmental-seminar-enhancing-analysis-ocean-dynamics-applications-protection-marine,"Advancements in ocean (and atmosphere) observations and modelling have been creating vast amounts of data to quantify the multi-scale variations of ocean dynamics (circulation, sea levels, hydrography, mixing, and sea-ice, etc.). The forcing mechanisms and predictability of these variations are being revealed through data analyses using classical statistical and dynamic analysis methods, and recently the advanced methods of Machine Learning. The analysis results are being applied to address issues in other disciplines of marine science. Further enhancement of these analyses can be “integrated” as key components of the “Digital Twin of the Ocean” (DTO). This talk will present examples of such analysis research that can potentially contribute to DTO for the protection of marine ecosystem and environment. These example are taken from the results of the speaker’s recent collaborative research, including 1) rapid drop of ocean temperature during cold-air outbreaks; 2) particle tracking modelling for assessing radiological risk of a nuclear power station; 3) research related to marine oil spill research and response; 4) marine heatwaves; and 5) ice phenology variations in ocean and lakes.",2023-05-19,2023-05-19,Rm 5583 (lift 29-30),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Marketing Research Seminar Series  - TMI: Exploring How and Why Intimate Self-Disclosure Affects the Persuasiveness of Consumer Online Word of Mouth,https://calendar.hkust.edu.hk/events/marketing-research-seminar-series-tmi-exploring-how-and-why-intimate-self-disclosure-affects,"Seminar, Lecture, Talk",Organized by Department of Marketing,Online via Zoom,19  May  2023,https://calendar.hkust.edu.hk/events/marketing-research-seminar-series-tmi-exploring-how-and-why-intimate-self-disclosure-affects,,2023-05-19,2023-05-19,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - Welfare Costs of Exchange Rate Fluctuations: Evidence from the 1972 Okinawa Reversion,https://calendar.hkust.edu.hk/events/economics-webinar-welfare-costs-exchange-rate-fluctuations-evidence-1972-okinawa-reversion,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,19  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-welfare-costs-exchange-rate-fluctuations-evidence-1972-okinawa-reversion,"We empirically evaluate the welfare costs of exchange rate fluctuations by observing how internal and external relative price dispersion responds to large aggregate shocks: high inflation and sharp currency depreciation. We investigate micro-level retail price data surveyed in Okinawa and mainland Japan before and after the Okinawan reversion from US military occupation to Japanese sovereignty in May of 1972 under high inflation. Because a calibrated small open-economy menu cost model fits empirical findings better than the Calvo model, the allocative inefficiency caused by exchange rate fluctuations may be more elusive than suggested by the conventional New Keynesian literature.",2023-05-19,2023-05-19,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Physics Department - Spintronics in the age of ChatGPT,https://calendar.hkust.edu.hk/events/physics-department-spintronics-age-chatgpt-0,"Seminar, Lecture, Talk",Organized by Department of Physics,"Room 5583, Academic Building, HKUST (Lifts 27-28)",22  May  2023,https://calendar.hkust.edu.hk/events/physics-department-spintronics-age-chatgpt-0,,2023-05-22,2023-05-22,"['Room 5583', 'Academic Building', 'HKUST (Lifts 27-28)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
OCES Departmental Seminar: The melting of Earth's Ice Sheets and their biogeochemical effects in the ocean,https://calendar.hkust.edu.hk/events/oces-departmental-seminar-melting-earths-ice-sheets-and-their-biogeochemical-effects-ocean,"Seminar, Lecture, Talk",Organized by Department of Ocean Science,Rm 5583 (lift 29-30),22  May  2023,https://calendar.hkust.edu.hk/events/oces-departmental-seminar-melting-earths-ice-sheets-and-their-biogeochemical-effects-ocean,"With increasing annual fluxes of runoff and calved ice around Antarctica and Greenland, it is unclear how freshening of these coastal regions will affect primary production in the future ocean. By combining cruise water column observations, with remote sensing of chlorophyll and bioassay experiments we can however gain some insight into the links between liquid/solid ice sheet discharge and marine biogeochemistry. In addition to physical effects from icebergs and glaciers mixing the water column, the release of high sediment loads may negatively affect light availability or prove fatal to grazers. Conversely the release of trace metals associated with iceberg/glacier melt could have fertilizing effects on phytoplankton. By combining an extensive compilation of 500 ice meltwater samples for (micro)nutrient content with incubation experiments in the Western Antarctic Peninsula (WAP) and Greenland to test the response of phytoplankton communities to increasing freshwater and sediment, we aim to increase understanding of cryosphere-ocean linkages.

Whilst iceberg melt was consistently found to act as a modest source of (micro)nutrients, particularly the bioessential trace metals iron and manganese (mean concentrations 88 nM dFe, 29 nM dMn, 0.64 µM dSi), the response of primary producers in both Greenland and the WAP to increasing meltwater was limited suggesting trace metal concentrations were already replete in the water column. Furthermore, in the WAP a negative response was observed when salinity declined by more than 2 psu suggesting primary producers were poorly adapted to pulses of low salinity. Trace metal spikes similarly had limited effects corroborating the hypothesis that inshore waters around Greenland and Antarctica are (micro)nutrient replete. The addition of small to moderately high sediment loads in the WAP, up to 500 mg L-1, did however produce a positive effect on chlorophyll a, and notable shifts in bacteria and eukaryote abundances. Given the lack of response to trace metal additions, this points towards the multiple mechanisms via which suspended sediment affects ecosystem dynamics which may include hosting bacterial communities, a decrease in viral load, grazing suppression and shading in addition into moderating micronutrient availability.",2023-05-22,2023-05-22,Rm 5583 (lift 29-30),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Mathematics - Seminar on Pure Mathematics - Center of the quantum affine algebra at critical level,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-pure-mathematics-center-quantum-affine-algebra-critical-level,"Seminar, Lecture, Talk",Organized by Department of Mathematics,Room 4472 (Lifts 25/26),22  May  2023,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-pure-mathematics-center-quantum-affine-algebra-critical-level,I will discuss formulas of generators of the center of the completed quantum affine algebra in type A at the critical level. They are associated with primitive idempotents of the Hecke algebra and parameterized by Young diagrams. The Harish-Chandra images of the Sugawara operators are identified with the eigenvalues of the operators acting in the q-deformed Wakimoto modules. This recent joint work relies on suitable q-versions of the symmetric group and new ingredients of the Hecke algebra.,2023-05-22,2023-05-22,Room 4472 (Lifts 25/26),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Mathematics - Seminar on Scientific Computation  - Well-balanced Kinetic Methods for Two-phase Flows,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-scientific-computation-well-balanced-kinetic-methods-two,"Seminar, Lecture, Talk",Organized by Department of Mathematics,"Room 4472, Academic Building, HKUST (Lifts 25-26)",22  May  2023,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-scientific-computation-well-balanced-kinetic-methods-two,,2023-05-22,2023-05-22,"['Room 4472', 'Academic Building', 'HKUST (Lifts 25-26)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"Religious minorities in the 2019 Hong Kong protests: Ambivalence, strategies of (non)participation, and claims of belonging among Muslims, Sikhs, and Hindus of Hong Kong",https://calendar.hkust.edu.hk/events/religious-minorities-2019-hong-kong-protests-ambivalence-strategies-nonparticipation-and,"Seminar, Lecture, Talk",Organized by Division of Humanities,"Room 3301, (Lift no. 17-18)",22  May  2023,https://calendar.hkust.edu.hk/events/religious-minorities-2019-hong-kong-protests-ambivalence-strategies-nonparticipation-and,"Abstract:Based on a broader ethnographic study with Muslim, Hindu, and Sikh residents of Hong Kong, this talk examines the role of minority religions in the 2019 Hong Kong protests. While the protests were dominated by the debates over the identities of Hongkongers versus mainland Chinese, they also produced discussions over the positions and experiences of Hong Kong's ""ethnic minorities,"" many of whom are religious minorities. Often racialized and seen as outsiders by Han Hongkongers, ethnoreligious minorities were reluctant to take sides, worried for their livelihoods and fearing further marginalization. This sharply contrasts with the visibility of Christian communities in the protests: Christian leaders were publicly involved in prayer meetings and other forms of support for the protests, while the followers of minority religions either stayed away or organized prayer sessions in private, small settings. However, around October 2019, after a series of unprecedented events, minorities either found themselves drawn into or took an opportunity to participate in the protests to claim their Hongkonger identity. This was a potential for expanding the political discourse and creating a unified multicultural, multiracial identity for Hongkongers. However, such aspirations got crushed against the walls of cultural-religious representation, and minorities felt that they remained misunderstood and unacknowledged as fellow citizens.  Biography:Venera Khalikova is Assistant Professor at the Chinese University of Hong Kong. She is a cultural anthropologist whose research explores the acts and articulation of identity, nationalism, and citizenship in two distinct contexts: alternative medicine and transnational migration. Khalikova holds a Ph.D. in Anthropology from the University of Pittsburgh, USA. Her work has been funded by the Wenner-Gren Foundation, the Andrew Mellon Foundation, and appeared in Medical Anthropology, Journal of Asian Studies, and Food, Culture, and Society, among others.  ",2023-05-22,2023-05-22,"['Room 3301', '(Lift no. 17-18)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Asia’s Economic Outlook: Still Resilient? — A Conversation with HKUST Business School,https://calendar.hkust.edu.hk/events/asias-economic-outlook-still-resilient-conversation-hkust-business-school,"Seminar, Lecture, Talk",Organized by HKUST Business School - Communications and External Affairs,Online webinar via Zoom,23  May  2023,https://calendar.hkust.edu.hk/events/asias-economic-outlook-still-resilient-conversation-hkust-business-school,"The global economy is entering a perilous new phase as turmoil in the financial system heaps even more pressure on a world already buffeted by high inflation, rising interest rates and war in Ukraine. How much impact would the global banking turmoil have on Asia’s economic outlook? The world is counting on China’s economic recovery, but just how strong would its rebound be? Will the US-China relationship continue to unravel, and how would the US’s strict export control measures affect China and other nations in the region? At this WSJ Future Leaders Webinar, join experts at HKUST and The Wall Street Journal (WSJ) for a timely conversation. The event is organized by WSJ and supported by HKUST Business School.",2023-05-23,2023-05-23,Online webinar via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
HKUST Unicorn Day,https://calendar.hkust.edu.hk/events/hkust-unicorn-day,"Conference, Symposium, Forum, Exhibition, Fair, Fundraising, University Event & Ceremony",Organized by Office of Knowledge Transfer,"Shaw Auditorium, HKUST",23  May  2023,https://calendar.hkust.edu.hk/events/hkust-unicorn-day,"The HKUST Unicorn Day is one of our signature events, bringing like-mind innovators, potential investors and industry stakeholders together to exchange insights and explore collaboration opportunities.

During the Unicorn Day, close to 30 fast-growing technology companies and nearly 60 high-potential startups founded by HKUST alumni and community will showcase their solutions, a guided Startup Showcase Tour and concurrent Startup Pitching Sessions will be held to demonstrate HKUST’s commitment to knowledge transfer and the development of featured technologies.

Join us and register now!

 

Click HERE to visit HKUST Unicorn Day event website for more details.",2023-05-23,2023-05-23,"['Shaw Auditorium', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Chemistry - PhD Student Seminar - Breaking New Ground in NOx Emission Control: Novel Catalyst Systems in NH3-Selective Catalytic Reduction,https://calendar.hkust.edu.hk/events/department-chemistry-phd-student-seminar-breaking-new-ground-nox-emission-control-novel,"Seminar, Lecture, Talk",Organized by Department of Chemistry,"Room 1410 (Lifts 25-26), 1/F, Academic Building",23  May  2023,https://calendar.hkust.edu.hk/events/department-chemistry-phd-student-seminar-breaking-new-ground-nox-emission-control-novel,"Student: Mr. Xinnan WANGDepartment: Department of Chemistry, HKUSTSupervisor: Professor Zhihong GUO and Professor Ben Zhong TANG",2023-05-23,2023-05-23,"['Room 1410 (Lifts 25-26)', '1/F', 'Academic Building']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
